domainID	domainName
pfam15930	YdiH family protein
PRK13780	HPr family phosphocarrier protein
cd01943	ribokinase family protein
pfam13934	ELYS family protein
TIGR01510	pantetheine-phosphate adenylyltransferase
cd18259	kelch-like protein 30
pfam06087	tyrosyl-DNA phosphodiesterase 1
cd14688	bZIP transcription factor
cd00884	carbonic anhydrase
pfam02207	E3 ubiquitin-protein ligase UBR7
COG3653	amidohydrolase family protein
pfam00386	complement C1q domain-containing protein
PRK13937	D-sedoheptulose 7-phosphate isomerase
pfam04306	DUF456 domain-containing protein
PLN02567	alpha,alpha-trehalase
PRK04004	translation initiation factor IF-2 family protein
pfam03567	sulfotransferase family protein
cd00072	GYF domain-containing protein
COG0682	prolipoprotein diacylglyceryl transferase
TIGR00886	MFS transporter
COG1078	HD domain-containing protein
cd01400	6-phosphogluconolactonase
TIGR03920	type VII secretion integral membrane protein EccD
PRK00415	30S ribosomal protein S27e
TIGR04377	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
pfam09957	type II toxin-antitoxin system VapB family antitoxin
pfam15167	maturin
pfam03923	YajG family lipoprotein
cl24610	protein TORNADO 1
PLN02367	lactoylglutathione lyase
pfam08336	procollagen-proline 4-dioxygenase
COG3386	SMP-30/gluconolactonase/LRE family protein
pfam15830	DUF4712 domain-containing protein
pfam12253	RLF2 family protein
PRK13479	2-aminoethylphosphonate--pyruvate transaminase
pfam06064	host-nuclease inhibitor Gam family protein
cl27191	cell cycle checkpoint control RAD9 family protein
PRK14493	molybdopterin synthase
PRK13657	glucan ABC transporter ATP-binding protein/permease
pfam02179	BAG family molecular chaperone regulator
cd03423	sulfurtransferase
cd19744	basic helix-loop-helix domain-containing protein
PRK12816	flagellar basal-body rod protein FlgG
PRK05682	flagellar hook protein FlgE
cd15583	Set1/Ash2 histone methyltransferase complex subunit ASH2
pfam12805	YccS/YhfK family membrane protein
PRK11477	CdaR family transcriptional regulator
cl00447	NUDIX hydrolase
PRK03287	tRNA pseudouridine(55) synthase TruB
cl11338	mediator of RNA polymerase II transcription subunit 1 family protein
PRK11316	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
pfam09949	App1 family protein
cd06852	phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR01469	uroporphyrinogen-III C-methyltransferase
PRK05331	phosphate acyltransferase
COG0827	class I SAM-dependent methyltransferase
pfam13205	Ig-like domain-containing protein
COG1963	divergent PAP2 family protein
PRK10643	response regulator transcription factor
COG3407	diphosphomevalonate/mevalonate 3,5-bisphosphate decarboxylase family protein
COG2175	TauD/TfdA family dioxygenase
cd09888	transcription elongation factor SPT5
cl00482	SsrA-binding protein
pfam09758	CLEC16A/gop-1 family protein
pfam00924	mechanosensitive ion channel family protein
pfam14309	LNG1/LNG2 family protein
cd11769	tyrosine-protein kinase CSK
cd07868	cyclin-dependent kinase 8
PRK04211	30S ribosomal protein S12
cd04035	double C2-like domain-containing protein
TIGR02848	stage III sporulation protein AC
cd07859	mitogen-activated protein kinase
cd05804	tetratricopeptide repeat protein
cd15859	syntaxin family protein
PRK10140	GNAT family N-acetyltransferase
pfam02214	potassium voltage-gated channel subfamily D member
PTZ00104	methionine adenosyltransferase
TIGR04001	bacillithiol biosynthesis deacetylase BshB1
TIGR01128	DNA polymerase III subunit delta
pfam03701	YoaH family protein
COG4770	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
cl28891	ParB N-terminal domain-containing protein
cd11660	telomere repeat-binding factor
cd03140	type 1 glutamine amidotransferase family protein
PRK12921	ketopantoate reductase family protein
pfam02361	CbiQ family ECF transporter T component
cd11659	SANT/Myb-like DNA-binding domain-containing protein
PRK13677	YaeH family protein
cd10163	UBX domain-containing protein 11
PRK10992	iron-sulfur cluster repair protein YtfE
cd03349	CatB-related O-acetyltransferase
cd00127	dual specificity protein phosphatase family protein
COG3024	DNA gyrase inhibitor YacG
pfam00183	Hsp90 family protein
pfam00892	EamA family transporter
pfam09799	transmembrane 17 domain-containing protein
pfam07463	NUMOD4 motif-containing HNH endonuclease
pfam03840	preprotein translocase subunit SecG
cd08925	hemoglobin beta-like protein
pfam05837	centromere protein H
cd03750	proteasome subunit alpha type-2
PRK04182	AAA family ATPase
pfam00070	FAD-dependent oxidoreductase
COG1741	pirin family protein
cl03831	AdipoR/hemolysin III family protein
pfam14167	YfkD famly protein
TIGR00833	RND family transporter
PRK12666	monovalent cation/H+ antiporter subunit D
COG0102	50S ribosomal protein L13
pfam01640	C10 family peptidase
pfam04257	exodeoxyribonuclease V subunit gamma
PRK05382	chorismate synthase
pfam12937	exocyst complex component Sec10 family protein
pfam10998	glycerophosphocholine acyltransferase 1
PHA01627	DUF1874 domain-containing protein
PRK11512	MarR family transcriptional regulator
pfam04074	YhcH/YjgK/YiaL family protein
cd14009	serine/threonine-protein kinase
pfam09320	J domain-containing protein
PRK04309	DNA-directed RNA polymerase subunit A  
pfam04433	lysine-specific histone demethylase 1B
cd02078	potassium-transporting ATPase subunit KdpB
COG3326	DUF1294 domain-containing protein
PRK10714	glycosyltransferase
