Complex ac	Recommended name
CPX-1465	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK17
CPX-6178	FCN2-MASP1 lectin-protease complex
CPX-115	Glycoprotein Ib-IX-V complex
CPX-2325	Polycomb repressive complex 2.1, EZH2-RBBP7-PCL1-EPOP variant
CPX-3028	1,3-beta-D-glucan synthase complex, FKS3-RHO1 variant
CPX-3161	Ryanodine 3 complex
CPX-3521	myrf-1-myrf-2 complex
CPX-74	Phosphatidylinositol 3-kinase complex, class III, UVRAG variant
CPX-4763	Osteoprotegerin complex
CPX-5123	XerCD site-specific tyrosine recombinase complex
CPX-1451	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK3
CPX-1896	mRNA cleavage factor complex CFI
CPX-1017	Phagocyte NADPH oxidase complex, RAC1 variant
CPX-2709	Ragulator complex
CPX-8068	Mitochondrial pyruvate carrier complex
CPX-1111	Importin complex, Snurportin variant
CPX-4465	YnjBCD ABC transporter complex
CPX-2875	RNase H2 complex
CPX-1357	RSA centrosome-targeting complex
CPX-1460	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK12
CPX-6270	NatB N-alpha-acetyltransferase complex
CPX-903	TFTC histone acetylation complex
CPX-1601	60S cytosolic large ribosomal subunit
CPX-1312	SLBP-SLIP1 complex
CPX-580	mRNA cap methyltransferase complex
CPX-2002	6-phosphofructokinase, M3L heterotetramer
CPX-4601	Glutathione/cysteine ABC exporter complex
CPX-1867	Nuclear mitotic cohesin complex
CPX-3302	TDRD3-TOP3B type IA topoisomerase complex
CPX-5670	Nucleosome, variant H3.1-H2A.Z-H2B.1
CPX-1510	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK17
